Rowid;FREGUESIA;NAOCOMBUSTIVEL;AGRICULTURA;FOLHOSAS;EUCALIPTO;INVASORAS;PINHEIRO_BRAVO;OUTROS_PINHEIROS;MATOS;TOTAL;NAOCOMBUSTIVEL_HA;AGRICULTURA_HA;FOLHOSAS_HA;EUCALIPTO_HA;INVASORAS_HA;PINHEIRO_BRAVO_HA;OUTROS_PINHEIROS_HA;MATOS_HA;TOTAL_HA;FRAC_AGRICULTURA;FRAC_FOLHOSAS;FRAC_EUCALIPTO;FRAC_INVASORAS;FRAC_PINHEIRO_BRAVO;FRAC_OUTROS_PINHEIROS;FRAC_MATOS;LR_COS;LR_Slope;LR_Elevation;LR_total;PROBABILIDADE;HAZARD;HAZARD_SCALEDMAX;EXPOSICAO;ESPOSICAO_SCALEDMAX;VSOCIAL;VSOCIAL_SCALEDMAX;INDRISCOINC_MAX
108;União das freguesias de Côja e Barril de Alva;2030625;3101875;3223750;3296875;0;11926875;92500;622500;24295000;203.0625;310.1875;322.375;329.6875;0;1192.6875;9.25;62.25;2429.5;0.127675448;0.132691912;0.13570179;0;0.490918913;0.003807368;0.025622556;1.22606358;1.372734;0.833403;1.352432114;0.036816;0.049791141;0.151487512;0.143995881;0.275331141;0.311055;0.393401384;0.254110543
109;Aldeia das Dez;411250;1845000;3125000;738125;241875;7385625;0;4946875;18693750;41.125;184.5;312.5;73.8125;24.1875;738.5625;0;494.6875;1869.375;0.098696088;0.167168171;0.039485122;0.012938816;0.395085256;0;0.264627215;1.564244937;2.214698;1.919842;3.233716631;0.050698;0.163942966;0.498789779;0.118278115;0.226156805;0.370764;0.4689173;0.375382902
110;Carapinha;813750;1136875;496250;3410625;0;3452500;0;105625;9415625;81.375;113.6875;49.625;341.0625;0;345.25;0;10.5625;941.5625;0.120743445;0.052704945;0.362230335;0;0.36667773;0;0.011218055;1.248883508;1.347024;0.699071;1.27766715;0.058065;0.074187743;0.225713179;0.044639526;0.085354189;0.287586;0.363719376;0.191359223
111;Mouronho;970000;4106875;1926875;8459375;0;8472500;0;82500;24018125;97;410.6875;192.6875;845.9375;0;847.25;0;8.25;2401.8125;0.170990658;0.080225871;0.352207968;0;0.35275443;0;0.003434906;1.237380929;0.97005;0.726294;1.049511857;0.018081;0.018976224;0.057734386;0.175180261;0.334958062;0.310936;0.393250881;0.196651938
112;Avô;341250;2094375;1928750;428125;154375;2140000;0;88125;7175000;34.125;209.4375;192.875;42.8125;15.4375;214;0;8.8125;717.5;0.291898955;0.268815331;0.05966899;0.021515679;0.29825784;0;0.01228223;1.000509493;1.911243;1.15843;1.535618489;0.034833;0.053490199;0.162741746;0.203866005;0.389807398;0.332581;0.420626017;0.298823715
113;União das freguesias de Pinheiro de Coja e Meda de Mouros;545625;2757500;1228125;7281875;0;7875625;0;158125;19846875;54.5625;275.75;122.8125;728.1875;0;787.5625;0;15.8125;1984.6875;0.13893875;0.061880019;0.36690285;0;0.396819399;0;0.007967249;1.310556155;0.995024;0.80876;1.181980112;0.032269;0.038141316;0.116043397;0.106970277;0.204535353;0.402662;0.509259739;0.229496494
114;Alvoco das Várzeas;505625;879375;1205000;888125;159375;7198750;0;777500;11613750;50.5625;87.9375;120.5;88.8125;15.9375;719.875;0;77.75;1161.375;0.075718437;0.103756323;0.076471854;0.013722958;0.619847164;0;0.066946507;1.408773613;2.155913;1.415962;2.515981624;0.032897;0.082768248;0.251819013;0.04864272;0.093008603;0.355278;0.449331652;0.219142301
115;Bobadela;663750;2228125;395000;38125;239375;1851875;177500;90000;5683750;66.375;222.8125;39.5;3.8125;23.9375;185.1875;17.75;9;568.375;0.392016714;0.069496371;0.006707719;0.042115681;0.325819221;0.031229382;0.015834616;0.826524079;0.936496;1.418132;0.97307837;0.023165;0.02254136;0.068581169;0.09679519;0.185079808;0.184791;0.233711193;0.143686008
116;União das freguesias de Ázere e Covelo;2879375;4478750;2666250;10983125;155000;3978750;0;344375;25485625;287.9375;447.875;266.625;1098.3125;15.5;397.875;0;34.4375;2548.5625;0.175736322;0.104617799;0.430953724;0.00608186;0.156117419;0;0.013512519;1.111915337;1.247877;0.585611;1.019341713;0.039764;0.040533104;0.123320313;0.122038997;0.2333479;0.369965;0.467906779;0.237902653
117;Midões;1232500;7566875;1406875;1148125;428750;5638750;969375;1666875;20058125;123.25;756.6875;140.6875;114.8125;42.875;563.875;96.9375;166.6875;2005.8125;0.377247375;0.070139906;0.057239897;0.021375378;0.281120494;0.048328296;0.083102234;0.979236655;1.000069;0.929472;0.944738637;0.030736;0.029037487;0.088345368;0.20067559;0.383707081;0.341945;0.432468973;0.244744449
