Rowid;FREGUESIA;NAOCOMBUSTIVEL;AGRICULTURA;FOLHOSAS;EUCALIPTO;INVASORAS;PINHEIRO_BRAVO;OUTROS_PINHEIROS;MATOS;TOTAL;NAOCOMBUSTIVEL_HA;AGRICULTURA_HA;FOLHOSAS_HA;EUCALIPTO_HA;INVASORAS_HA;PINHEIRO_BRAVO_HA;OUTROS_PINHEIROS_HA;MATOS_HA;TOTAL_HA;FRAC_AGRICULTURA;FRAC_FOLHOSAS;FRAC_EUCALIPTO;FRAC_INVASORAS;FRAC_PINHEIRO_BRAVO;FRAC_OUTROS_PINHEIROS;FRAC_MATOS;LR_COS;LR_Slope;LR_Elevation;LR_total;PROBABILIDADE;HAZARD;HAZARD_SCALEDMAX;EXPOSICAO;ESPOSICAO_SCALEDMAX;VSOCIAL;VSOCIAL_SCALEDMAX;INDRISCOINC_MAX
1;Carvoeiro;721875;4771875;66250;6395625;0;35371875;0;1583750;48911250;72.1875;477.1875;6.625;639.5625;0;3537.1875;0;158.375;4891.125;0.097561911;0.001354494;0.130759795;0;0.72318485;0;0.032380076;1.441125263;1.296965;1.096474;1.724622704;0.035626;0.061441408;0.186932976;0.103574682;0.198042715;0.397098;0.502222767;0.26491938
2;Amêndoa;578750;2799375;130000;11090000;39375;12089375;13750;10880000;37620625;57.875;279.9375;13;1109;3.9375;1208.9375;1.375;1088;3762.0625;0.074410646;0.003455551;0.294785108;0.001046633;0.321349659;0.000365491;0.289203063;1.694330126;1.314281;1.27394;2.192650406;0.049144;0.107755612;0.327842048;0.103592217;0.198076245;0.458881;0.580361739;0.33527302
3;São Pedro do Esteval;3328750;14516875;538125;16130000;0;9591875;0;24381250;68486875;332.875;1451.6875;53.8125;1613;0;959.1875;0;2438.125;6848.6875;0.211965796;0.007857345;0.235519579;0;0.140054207;0;0.355998868;1.526461391;1.043574;0.62638;1.274560153;0.015268;0.019459984;0.059206208;0.087783665;0.167849084;0.369662;0.467523565;0.166864228
4;São João do Peso;371250;1167500;146250;1185625;0;6555000;0;3628125;13053750;37.125;116.75;14.625;118.5625;0;655.5;0;362.8125;1305.375;0.089437901;0.011203677;0.090826391;0;0.502154553;0;0.277937374;1.64861105;1.227757;0.911253;1.763197761;0.034101;0.060126807;0.182933355;0.1441124;0.275553934;0.733968;0.928273223;0.360350486
5;União das freguesias de Santa Ovaia e Vila Pouca da Beira;861250;2156250;706875;426250;268750;2965625;0;47500;7432500;86.125;215.625;70.6875;42.625;26.875;296.5625;0;4.75;743.25;0.290110999;0.095105954;0.057349479;0.036158762;0.399007736;0;0.006390851;0.965974079;1.378759;1.295765;1.291760429;0.02607;0.033676194;0.102458446;0.122868472;0.234933919;0.282121;0.356807613;0.204790214
6;Lourosa;510625;2651875;552500;2953125;56250;7115625;21250;66250;13927500;51.0625;265.1875;55.25;295.3125;5.625;711.5625;2.125;6.625;1392.75;0.190405672;0.039669718;0.212035541;0.004038772;0.510904685;0.001525758;0.004756776;1.240495954;1.188225;1.281061;1.531569647;0.025309;0.038762496;0.117933312;0.20602764;0.39394061;0.416673;0.526979907;0.290371353
7;União das freguesias de Espariz e Sinde;1810625;3942500;3024375;11473125;133750;2916875;100000;116250;23517500;181.0625;394.25;302.4375;1147.3125;13.375;291.6875;10;11.625;2351.75;0.167641118;0.128601042;0.487854789;0.005687254;0.124029978;0.004252153;0.004943127;1.154449231;0.882245;0.80639;0.974721688;0.033598;0.032748699;0.09963658;0.183199687;0.350291818;0.354598;0.448471634;0.250146595
8;São Gião;352500;1853125;2446875;217500;242500;8077500;0;1365625;14555625;35.25;185.3125;244.6875;21.75;24.25;807.75;0;136.5625;1455.5625;0.127313324;0.168105114;0.014942677;0.016660226;0.5549401;0;0.093821117;1.369712184;2.048757;1.852651;2.671903036;0.03757;0.100383397;0.305412387;0.046483541;0.088880086;0.387828;0.490498697;0.237015268
9;São João da Boa Vista;535000;1856250;972500;3933125;0;2287500;231875;31875;9848125;53.5;185.625;97.25;393.3125;0;228.75;23.1875;3.1875;984.8125;0.188487656;0.098749762;0.399378054;0;0.232277718;0.023545091;0.003236657;1.161947614;0.877579;1.034665;1.110963676;0.02934;0.032595674;0.099171008;0.168492837;0.322171195;0.389483;0.492591829;0.250602969
10;União das freguesias de Penalva de Alva e São Sebastião da Feira;1067500;2065625;3614375;108750;2159375;5475625;0;11250;14502500;106.75;206.5625;361.4375;10.875;215.9375;547.5625;0;1.125;1450.25;0.142432339;0.249224272;0.007498707;0.148896742;0.377564213;0;0.000775728;1.129076958;2.021609;1.250221;1.847073931;0.030501;0.056337602;0.171404854;0.106365101;0.203378211;0.298127;0.377050922;0.235998467
11;Nogueira do Cravo;1875625;5422500;655000;186250;273125;6386875;34375;147500;14981250;187.5625;542.25;65.5;18.625;27.3125;638.6875;3.4375;14.75;1498.125;0.361952441;0.043721318;0.012432207;0.018231122;0.426324572;0.002294535;0.00984564;0.888024328;1.083185;1.745361;1.255908831;0.023189;0.02912327;0.088606359;0.136009425;0.260060427;0.168318;0.212877254;0.169911513
12;Vila Facaia;541875;2178750;1361250;5108125;0;7396250;0;470625;17056875;54.1875;217.875;136.125;510.8125;0;739.625;0;47.0625;1705.6875;0.127734418;0.07980653;0.299476018;0;0.433622806;0;0.027591514;1.330272625;1.101808;1.473822;1.71314504;0.036609;0.062716527;0.190812472;0.190486565;0.364224886;0.54441;0.688533049;0.363050513
13;Madeirã;1915625;1248750;785000;9521875;11250;13225000;0;155000;26862500;191.5625;124.875;78.5;952.1875;1.125;1322.5;0;15.5;2686.25;0.046486738;0.029222894;0.354467194;0.000418799;0.49232201;0;0.005770126;1.373771685;1.881941;1.685831;2.450652076;0.038686;0.094805926;0.288443159;0.161855151;0.309479432;0.548434;0.693622333;0.395614045
14;Santiago da Guarda;2741250;12893750;2810000;3573125;0;16605000;98125;2523125;41244375;274.125;1289.375;281;357.3125;0;1660.5;9.8125;252.3125;4124.4375;0.312618387;0.068130503;0.086633026;0;0.402600355;0.002379112;0.061175009;1.079302856;0.809366;0.806175;0.871829007;0.015786;0.013762693;0.041872431;0.284072036;0.543167466;0.335322;0.424092649;0.212866616
15;Ansião;2725000;10970000;10322500;3207500;0;8346250;526250;2145000;38242500;272.5;1097;1032.25;320.75;0;834.625;52.625;214.5;3824.25;0.286853631;0.269922207;0.083872655;0;0.218245408;0.013760868;0.056089429;0.999673408;0.872591;0.700016;0.786046699;0.0115;0.009039537;0.027502422;0.235169519;0.449662112;0.243459;0.307910523;0.156156689
16;Sobral;1070000;1370625;241250;4992500;18750;10747500;0;728750;19169375;107;137.0625;24.125;499.25;1.875;1074.75;0;72.875;1916.9375;0.071500766;0.012585178;0.260441459;0.000978123;0.560659907;0;0.038016367;1.405643864;2.014;1.696148;2.607573386;0.049979;0.13032391;0.396505175;0.386726989;0.73945159;0.612379;0.774495656;0.610088068
17;Cumeeira;1349375;5035625;2775000;5301250;0;3270000;0;3558750;21290000;134.9375;503.5625;277.5;530.125;0;327;0;355.875;2129;0.236525364;0.130342884;0.249001879;0;0.153593236;0;0.167155942;1.245978233;1.330186;1.085694;1.505066947;0.022731;0.034211677;0.10408763;0.104161194;0.199164171;0.32495;0.410974843;0.204240496
18;Aguda;1105625;4071250;2423750;26735625;0;4040625;0;1287500;39664375;110.5625;407.125;242.375;2673.5625;0;404.0625;0;128.75;3966.4375;0.102642485;0.061106471;0.674046295;0;0.101870381;0;0.032459859;1.368255348;1.677027;1.423628;2.121243893;0.046006;0.097589947;0.296913427;0.248685105;0.475504946;0.398986;0.504610583;0.414553332
19;Álvaro;1323750;2326875;241250;10475625;15625;13092500;0;1935000;29410625;132.375;232.6875;24.125;1047.5625;1.5625;1309.25;0;193.5;2941.0625;0.079116816;0.008202818;0.356185052;0.000531271;0.44516225;0;0.065792549;1.436524612;2.014042;1.746513;2.701064906;0.056192;0.151778239;0.461779095;0.224205628;0.428698315;0.658513;0.832842828;0.54833971
20;Sarnadas de São Simão;244375;1308125;91875;4926250;0;21213125;0;3223125;31006875;24.4375;130.8125;9.1875;492.625;0;2121.3125;0;322.3125;3100.6875;0.042188224;0.002963053;0.158876056;0;0.68414263;0;0.103948721;1.585879789;1.780043;1.896681;2.915421141;0.031674;0.092343049;0.280949957;0.189807247;0.362925979;0.505909;0.639839581;0.402568117
21;Estreito-Vilar Barroco;841250;5544375;639375;9570000;0;67490000;148750;9271875;93505625;84.125;554.4375;63.9375;957;0;6749;14.875;927.1875;9350.5625;0.059294561;0.006837824;0.102346784;0;0.72177476;0.001590813;0.099158473;1.556660658;1.801929;1.887124;2.871301836;0.032199;0.092453048;0.281284623;0.250377387;0.47874072;0.476697;0.602894214;0.433007905
22;Alvorge;1255000;11889375;7628750;2756250;0;6623125;248750;8633750;39035000;125.5;1188.9375;762.875;275.625;0;662.3125;24.875;863.375;3903.5;0.304582426;0.195433585;0.070609709;0;0.169671449;0.006372486;0.221179711;1.22751767;0.965548;0.843036;1.110034409;0.012757;0.014160709;0.043083379;0.181713724;0.347450542;0.390282;0.49360235;0.194772059
23;Portela do Fojo-Machio;6363125;2384375;519375;23734375;50625;15203125;45000;4505000;52805000;636.3125;238.4375;51.9375;2373.4375;5.0625;1520.3125;4.5;450.5;5280.5;0.045154341;0.009835716;0.449472114;0.000958716;0.287910709;0.000852192;0.085313891;1.374735584;1.919834;1.462972;2.325231891;0.050117;0.116533647;0.354548861;0.255634781;0.488793259;0.544113;0.688157424;0.492224282
24;Oleiros-Amieira;2904375;10398125;1570625;20274375;0;97113750;135000;11244375;143640625;290.4375;1039.8125;157.0625;2027.4375;0;9711.375;13.5;1124.4375;14364.0625;0.072389862;0.010934407;0.141146525;0;0.676088328;0.000939846;0.078281301;1.500815314;1.731634;2.003644;2.802981213;0.033194;0.093042158;0.283076968;0.277883568;0.531334642;0.394476;0.498906639;0.421791008
25;Orvalho;440625;2016875;481250;4090000;0;19142500;0;7141250;33312500;44.0625;201.6875;48.125;409;0;1914.25;0;714.125;3331.25;0.06054409;0.014446529;0.122776735;0;0.574634146;0;0.214371482;1.649637864;1.720102;1.987616;3.058196002;0.040633;0.124263678;0.378067167;0.120622302;0.230639069;0.557496;0.70508334;0.3946821
26;Pedrógão Grande;4643750;7915625;4153750;32616875;580625;27962500;0;2376875;80250000;464.375;791.5625;415.375;3261.6875;58.0625;2796.25;0;237.6875;8025;0.098637072;0.051760125;0.40644081;0.007235202;0.348442368;0;0.02961838;1.33616443;1.294942;1.40414;1.803208681;0.040179;0.072451122;0.220429579;0.255176667;0.48791731;0.398409;0.503880832;0.3784263
27;Espinhal;698125;1158750;3266250;16745625;316875;5261875;0;1939375;29386875;69.8125;115.875;326.625;1674.5625;31.6875;526.1875;0;193.9375;2938.6875;0.039430868;0.111146558;0.569833472;0.010782875;0.179055276;0;0.065994598;1.465410495;1.94822;1.803794;2.749120347;0.038065;0.104645266;0.318378949;0.066511311;0.127174716;0.338494;0.428104381;0.258800393
28;Cabril;1034375;896875;1290625;7956250;35000;4495625;38750;19459375;35206875;103.4375;89.6875;129.0625;795.625;3.5;449.5625;3.875;1945.9375;3520.6875;0.025474428;0.036658323;0.225985692;0.000994124;0.12769168;0.001100637;0.552715201;1.959833938;2.058592;2.120624;4.095284676;0.079195;0.32432607;0.986748825;0.037046881;0.07083647;0.620622;0.784920847;0.379982093
